Title	Description	Category
HP Ink Tank Printer - Model 121	All-in-one printer with wireless (Edition 2022)	Printer
Apple iPhone 13 - Model 389	Apple smartphone with A15 Bionic chip (Edition 2024)	Mobile
Logitech MX Master 3 - Model 380	Wireless ergonomic mouse (Edition 2024)	Accessories
Anker PowerCore 10000 - Model 274	Compact power bank (Edition 2024)	Accessories
Lenovo Legion 5 - Model 641	Gaming laptop with RTX 3060 (Edition 2024)	Laptop
Samsung Galaxy S22 - Model 346	Android phone with AMOLED display (Edition 2020)	Mobile
Canon EOS 1500D - Model 909	DSLR camera with 24.1MP sensor (Edition 2023)	Camera
HP Ink Tank Printer - Model 867	All-in-one printer with wireless (Edition 2024)	Printer
Realme Watch 2 Pro - Model 685	Smartwatch with GPS and SpO2 (Edition 2021)	Wearable
Realme Watch 2 Pro - Model 851	Smartwatch with GPS and SpO2 (Edition 2021)	Wearable
OnePlus Nord CE 3 - Model 289	Midrange phone with AMOLED display (Edition 2021)	Mobile
Canon EOS 1500D - Model 767	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
MacBook Air M2 - Model 645	Apple laptop with M2 chip (Edition 2024)	Laptop
Sony WH-1000XM5 - Model 928	Noise cancelling headphones (Edition 2022)	Audio
Dell XPS 13 - Model 808	Ultrabook with Intel i7 and 16GB RAM (Edition 2020)	Laptop
HP Pavilion x360 - Model 175	2-in-1 touchscreen laptop (Edition 2023)	Laptop
Logitech MX Master 3 - Model 770	Wireless ergonomic mouse (Edition 2024)	Accessories
MacBook Air M2 - Model 302	Apple laptop with M2 chip (Edition 2024)	Laptop
Samsung Galaxy S22 - Model 525	Android phone with AMOLED display (Edition 2020)	Mobile
Sony WH-1000XM5 - Model 122	Noise cancelling headphones (Edition 2022)	Audio
MacBook Air M2 - Model 100	Apple laptop with M2 chip (Edition 2021)	Laptop
HP Ink Tank Printer - Model 452	All-in-one printer with wireless (Edition 2021)	Printer
Apple iPhone 13 - Model 270	Apple smartphone with A15 Bionic chip (Edition 2024)	Mobile
OnePlus Nord CE 3 - Model 346	Midrange phone with AMOLED display (Edition 2023)	Mobile
Samsung 25W Charger - Model 274	Fast USB-C charger (Edition 2024)	Accessories
Boat Rockerz 450 - Model 366	Bluetooth headphones with bass (Edition 2023)	Audio
JBL Flip 6 - Model 904	Portable Bluetooth speaker (Edition 2022)	Audio
Apple Watch SE - Model 300	Smartwatch with fitness tracking (Edition 2024)	Wearable
HP Pavilion x360 - Model 446	2-in-1 touchscreen laptop (Edition 2023)	Laptop
HP Pavilion x360 - Model 353	2-in-1 touchscreen laptop (Edition 2024)	Laptop
Anker PowerCore 10000 - Model 208	Compact power bank (Edition 2021)	Accessories
HP Pavilion x360 - Model 509	2-in-1 touchscreen laptop (Edition 2022)	Laptop
Dell XPS 13 - Model 636	Ultrabook with Intel i7 and 16GB RAM (Edition 2022)	Laptop
Samsung Galaxy S22 - Model 133	Android phone with AMOLED display (Edition 2024)	Mobile
Asus ROG Strix - Model 617	Gaming laptop with RGB keyboard (Edition 2022)	Laptop
Sony WH-1000XM5 - Model 318	Noise cancelling headphones (Edition 2022)	Audio
OnePlus Nord CE 3 - Model 461	Midrange phone with AMOLED display (Edition 2024)	Mobile
Boat Rockerz 450 - Model 324	Bluetooth headphones with bass (Edition 2023)	Audio
Apple Watch SE - Model 150	Smartwatch with fitness tracking (Edition 2023)	Wearable
Google Pixel 7 - Model 343	Android phone with camera AI (Edition 2020)	Mobile
OnePlus Nord CE 3 - Model 219	Midrange phone with AMOLED display (Edition 2020)	Mobile
Apple Watch SE - Model 996	Smartwatch with fitness tracking (Edition 2021)	Wearable
Samsung Galaxy S22 - Model 621	Android phone with AMOLED display (Edition 2020)	Mobile
MacBook Air M2 - Model 886	Apple laptop with M2 chip (Edition 2024)	Laptop
HP Ink Tank Printer - Model 337	All-in-one printer with wireless (Edition 2022)	Printer
Boat Rockerz 450 - Model 300	Bluetooth headphones with bass (Edition 2024)	Audio
Dell XPS 13 - Model 860	Ultrabook with Intel i7 and 16GB RAM (Edition 2021)	Laptop
Samsung Galaxy S22 - Model 338	Android phone with AMOLED display (Edition 2020)	Mobile
Canon EOS 1500D - Model 671	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Sony WH-1000XM5 - Model 799	Noise cancelling headphones (Edition 2023)	Audio
Realme Watch 2 Pro - Model 218	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
HP Pavilion x360 - Model 824	2-in-1 touchscreen laptop (Edition 2022)	Laptop
Realme Watch 2 Pro - Model 853	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
Anker PowerCore 10000 - Model 329	Compact power bank (Edition 2023)	Accessories
Anker PowerCore 10000 - Model 581	Compact power bank (Edition 2023)	Accessories
Google Pixel 7 - Model 264	Android phone with camera AI (Edition 2023)	Mobile
Sony WH-1000XM5 - Model 893	Noise cancelling headphones (Edition 2021)	Audio
Asus ROG Strix - Model 274	Gaming laptop with RGB keyboard (Edition 2022)	Laptop
HP Pavilion x360 - Model 288	2-in-1 touchscreen laptop (Edition 2023)	Laptop
Canon EOS 1500D - Model 446	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Asus ROG Strix - Model 491	Gaming laptop with RGB keyboard (Edition 2024)	Laptop
JBL Flip 6 - Model 383	Portable Bluetooth speaker (Edition 2024)	Audio
Canon EOS 1500D - Model 154	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Apple Watch SE - Model 478	Smartwatch with fitness tracking (Edition 2022)	Wearable
Samsung 25W Charger - Model 457	Fast USB-C charger (Edition 2023)	Accessories
Sony WH-1000XM5 - Model 245	Noise cancelling headphones (Edition 2020)	Audio
Logitech MX Master 3 - Model 887	Wireless ergonomic mouse (Edition 2020)	Accessories
Samsung 25W Charger - Model 531	Fast USB-C charger (Edition 2021)	Accessories
Apple iPhone 13 - Model 746	Apple smartphone with A15 Bionic chip (Edition 2023)	Mobile
Boat Rockerz 450 - Model 178	Bluetooth headphones with bass (Edition 2023)	Audio
HP Pavilion x360 - Model 834	2-in-1 touchscreen laptop (Edition 2023)	Laptop
Boat Rockerz 450 - Model 294	Bluetooth headphones with bass (Edition 2022)	Audio
Lenovo Legion 5 - Model 163	Gaming laptop with RTX 3060 (Edition 2021)	Laptop
Samsung Galaxy S22 - Model 214	Android phone with AMOLED display (Edition 2022)	Mobile
MacBook Air M2 - Model 457	Apple laptop with M2 chip (Edition 2022)	Laptop
Google Pixel 7 - Model 950	Android phone with camera AI (Edition 2021)	Mobile
OnePlus Nord CE 3 - Model 516	Midrange phone with AMOLED display (Edition 2020)	Mobile
Realme Watch 2 Pro - Model 834	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
Asus ROG Strix - Model 739	Gaming laptop with RGB keyboard (Edition 2022)	Laptop
Realme Watch 2 Pro - Model 574	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
Apple iPhone 13 - Model 169	Apple smartphone with A15 Bionic chip (Edition 2021)	Mobile
Lenovo Legion 5 - Model 409	Gaming laptop with RTX 3060 (Edition 2024)	Laptop
MacBook Air M2 - Model 330	Apple laptop with M2 chip (Edition 2021)	Laptop
Google Pixel 7 - Model 190	Android phone with camera AI (Edition 2021)	Mobile
Samsung Galaxy S22 - Model 233	Android phone with AMOLED display (Edition 2020)	Mobile
Anker PowerCore 10000 - Model 954	Compact power bank (Edition 2022)	Accessories
MacBook Air M2 - Model 718	Apple laptop with M2 chip (Edition 2024)	Laptop
Boat Rockerz 450 - Model 450	Bluetooth headphones with bass (Edition 2024)	Audio
Google Pixel 7 - Model 354	Android phone with camera AI (Edition 2024)	Mobile
Apple iPhone 13 - Model 975	Apple smartphone with A15 Bionic chip (Edition 2022)	Mobile
Sony WH-1000XM5 - Model 919	Noise cancelling headphones (Edition 2020)	Audio
